lfg_id,lfg_name,map,difficulty,expansion,wing,step,kind,boss,entry,x,y,z,source,note
4,Ragefire Chasm,389,0,0,-,1,boss,Oggleflint,11517,-147.5,38.7,-38.8,spawn,
4,Ragefire Chasm,389,0,0,-,2,boss,Taragaman the Hungerer,11520,-244.7,150.1,-18.7,spawn,
4,Ragefire Chasm,389,0,0,-,3,boss,Jergosh the Invoker,11518,-376.8,209.2,-21.8,spawn,
4,Ragefire Chasm,389,0,0,-,4,boss,Bazzalan,11519,-384.9,146,7.8,spawn,upper walkway
1,Wailing Caverns,43,0,0,-,1,boss,Lady Anacondra,3671,-67.8,122.6,-92.8,spawn,Screaming Gully
1,Wailing Caverns,43,0,0,-,2,optional,Kresh,3653,-64.4,319.1,-106.7,spawn,river turtle
1,Wailing Caverns,43,0,0,-,3,optional,Verdan the Everliving,5775,-81.9,32.3,-31,spawn,
1,Wailing Caverns,43,0,0,-,4,boss,Lord Serpentis,3673,-120.2,-24.6,-28.6,spawn,
1,Wailing Caverns,43,0,0,-,5,boss,Lord Pythas,3670,36.8,-241.1,-79.5,spawn,
1,Wailing Caverns,43,0,0,-,6,optional,Skum,3674,-285.6,-313,-69.2,spawn,
1,Wailing Caverns,43,0,0,-,7,boss,Lord Cobrahn,3669,-151.1,414.4,-72.6,spawn,
1,Wailing Caverns,43,0,0,-,8,event,Disciple of Naralex,3678,-135,125.4,-78.1,spawn,escort from entrance after 4 Fanglords -> spawns Mutanus
1,Wailing Caverns,43,0,0,-,9,event,Mutanus the Devourer,3654,NULL,NULL,NULL,script,script-spawned by escort
6,Deadmines,36,0,0,-,1,boss,Rhahk'Zor,644,-192.9,-448.2,54.4,spawn,
6,Deadmines,36,0,0,-,2,boss,Sneed's Shredder,642,-289.5,-513,49.7,spawn,Sneed pops out after shredder dies (script)
6,Deadmines,36,0,0,-,3,boss,Gilnid,1763,-177.4,-574.5,19.3,spawn,
6,Deadmines,36,0,0,-,4,door,Iron door to Ironclad Cove,,,,,-,Defias Gunpowder on cannon / rogue lockpick
6,Deadmines,36,0,0,-,5,boss,Mr. Smite,646,-22.8,-797.3,20.4,spawn,stealthed elites first
6,Deadmines,36,0,0,-,6,boss,Captain Greenskin,647,-59.6,-820.1,41.6,spawn,on ship
6,Deadmines,36,0,0,-,7,boss,Edwin VanCleef,639,-87.4,-819.9,39.3,spawn,"cabin, adds"
6,Deadmines,36,0,0,-,8,optional,Cookie,645,-67.6,-853.7,17.1,spawn,after VanCleef
8,Shadowfang Keep,33,0,0,-,1,boss,Rethilgore,3914,-252.1,2123.1,81.2,spawn,
8,Shadowfang Keep,33,0,0,-,2,door,Courtyard door,,,,,-,opened by Deathstalker Adamant / Sorcerer Ashcrombe after Rethilgore
8,Shadowfang Keep,33,0,0,-,3,boss,Razorclaw the Butcher,3886,-202.6,2258,76.3,spawn,
8,Shadowfang Keep,33,0,0,-,4,boss,Baron Silverlaine,3887,-275.3,2297.4,76.2,spawn,
8,Shadowfang Keep,33,0,0,-,5,boss,Commander Springvale,4278,-222.6,2259.4,102.8,spawn,
8,Shadowfang Keep,33,0,0,-,6,boss,Odo the Blindwatcher,4279,-236.7,2146.1,100.1,spawn,
8,Shadowfang Keep,33,0,0,-,7,boss,Fenrus the Devourer,4274,-135.6,2168.7,128.8,spawn,
8,Shadowfang Keep,33,0,0,-,8,boss,Wolf Master Nandos,3927,-120.7,2162,155.8,spawn,kills opens Arugal's door
8,Shadowfang Keep,33,0,0,-,9,boss,Archmage Arugal,4275,-76.8,2152.4,155.8,spawn,
10,Blackfathom Deeps,48,0,0,-,1,boss,Ghamoo-ra,4887,-442.4,211.8,-52.6,spawn,
10,Blackfathom Deeps,48,0,0,-,2,optional,Lady Sarevess,4831,-299.9,413.8,-57.1,spawn,side cavern
10,Blackfathom Deeps,48,0,0,-,3,boss,Gelihast,6243,-412.7,40.9,-48.1,spawn,
10,Blackfathom Deeps,48,0,0,-,4,boss,Lorgus Jett,12902,-622.4,-86.9,-39.9,spawn,3 possible spawns
10,Blackfathom Deeps,48,0,0,-,5,optional,Baron Aquanis,12876,NULL,NULL,NULL,script,quest summon
10,Blackfathom Deeps,48,0,0,-,6,optional,Old Serra'kis,4830,-746.7,-169.4,-50.6,spawn,underwater
10,Blackfathom Deeps,48,0,0,-,7,boss,Twilight Lord Kelris,4832,-818.8,-155.6,-25.8,spawn,
10,Blackfathom Deeps,48,0,0,-,8,event,Altar candles,,,,,unknown,light 4 braziers -> waves -> spawns Aku'mai
10,Blackfathom Deeps,48,0,0,-,9,event,Aku'mai,4829,-848.4,-453.9,-33.9,spawn,script-spawned
12,Stormwind Stockade,34,0,0,-,1,boss,Targorr the Dread,1696,159.6,1.3,-25.6,spawn,variable cell
12,Stormwind Stockade,34,0,0,-,2,boss,Kam Deepfury,1666,142.6,-71.9,-34.9,spawn,variable cell
12,Stormwind Stockade,34,0,0,-,3,boss,Hamhock,1717,105.5,-105.8,-35.1,spawn,east/right wing
12,Stormwind Stockade,34,0,0,-,4,boss,Bazil Thredd,1716,89.6,-136.9,-33.9,spawn,"beyond Hamhock, east wing"
12,Stormwind Stockade,34,0,0,-,5,boss,Dextren Ward,1663,166.8,134.8,-33.9,spawn,end of west/left wing
12,Stormwind Stockade,34,0,0,-,6,optional,Bruegal Ironknuckle,1720,160.1,45.7,-34.8,spawn,rare
14,Gnomeregan,90,0,0,-,1,optional,Viscous Fallout,7079,-471.4,48.5,-208,spawn,Hall of Gears
14,Gnomeregan,90,0,0,-,2,event,Blastmaster Emi Shortfuse,7998,-514.9,-138.5,-152.4,spawn,Grubbis event (script-spawned Grubbis)
14,Gnomeregan,90,0,0,-,3,event,Grubbis,7361,NULL,NULL,NULL,script,
14,Gnomeregan,90,0,0,-,4,boss,Electrocutioner 6000,6235,-552,502.9,-216.7,spawn,
14,Gnomeregan,90,0,0,-,5,boss,Crowd Pummeler 9-60,6229,-889.1,360.7,-272.5,spawn,
14,Gnomeregan,90,0,0,-,6,optional,Dark Iron Ambassador,6228,-718.1,565.2,-289.1,spawn,rare
14,Gnomeregan,90,0,0,-,7,boss,Mekgineer Thermaplugg,7800,-531.3,670.2,-325.2,spawn,buttons must be pressed during fight (scripted)
16,Razorfen Kraul,47,0,0,-,1,boss,Roogug,6168,2143,1581.6,80.4,spawn,
16,Razorfen Kraul,47,0,0,-,2,boss,Aggem Thorncurse,4424,2082.3,1463.5,73.2,spawn,
16,Razorfen Kraul,47,0,0,-,3,boss,Overlord Ramtusk,4420,2203.1,1640.1,85.9,spawn,
16,Razorfen Kraul,47,0,0,-,4,boss,Death Speaker Jargba,4428,2146.4,1411.2,74,spawn,
16,Razorfen Kraul,47,0,0,-,5,optional,Earthcaller Halmgar,4842,2118.6,1695.3,80.3,spawn,rare
16,Razorfen Kraul,47,0,0,-,6,boss,Agathelos the Raging,4422,1994.4,1976.4,63.3,spawn,
16,Razorfen Kraul,47,0,0,-,7,optional,Blind Hunter,4425,2200.8,1978.2,56.7,spawn,rare
16,Razorfen Kraul,47,0,0,-,8,boss,Charlga Razorflank,4421,2190.4,1864.3,79.1,spawn,
18,Scarlet Monastery - Graveyard,189,0,0,Graveyard,1,boss,Interrogator Vishas,3983,1786.6,1124.4,7.6,spawn,
18,Scarlet Monastery - Graveyard,189,0,0,Graveyard,2,optional,Ironspine,6489,1749.6,1247.4,18.2,spawn,"rare, Forlorn Cloister"
18,Scarlet Monastery - Graveyard,189,0,0,Graveyard,3,optional,Azshir the Sleepless,6490,1851,1392.8,20.5,spawn,rare
18,Scarlet Monastery - Graveyard,189,0,0,Graveyard,4,optional,Fallen Champion,6488,1756.2,1345.4,19.4,spawn,rare
18,Scarlet Monastery - Graveyard,189,0,0,Graveyard,5,boss,Bloodmage Thalnos,4543,1820.3,1416.7,-7.9,spawn,
165,Scarlet Monastery - Library,189,0,0,Library,1,boss,Houndmaster Loksey,3974,119.9,-260.9,18.6,spawn,
165,Scarlet Monastery - Library,189,0,0,Library,2,boss,Arcanist Doan,6487,148.3,-428.7,18.5,spawn,drops Scarlet Key
163,Scarlet Monastery - Armory,189,0,0,Armory,1,boss,Herod,3975,1965.1,-431.6,6.3,spawn,Scarlet Key door
164,Scarlet Monastery - Cathedral,189,0,0,Cathedral,1,optional,High Inquisitor Fairbanks,4542,1158.9,1354.3,30.4,spawn,hidden room
164,Scarlet Monastery - Cathedral,189,0,0,Cathedral,2,boss,Scarlet Commander Mograine,3976,1153.9,1398.4,32.6,spawn,clear whole cathedral first
164,Scarlet Monastery - Cathedral,189,0,0,Cathedral,3,event,High Inquisitor Whitemane,3977,1202.1,1399.1,29.1,spawn,enters + resurrects Mograine (scripted)
20,Razorfen Downs,129,0,0,-,1,event,Tuten'kash,,,,,unknown,gong summons (script)
20,Razorfen Downs,129,0,0,-,2,boss,Mordresh Fire Eye,7357,2466.6,671.4,63.5,spawn,Bone Pile
20,Razorfen Downs,129,0,0,-,3,boss,Glutton,8567,2468.7,1006.8,23.8,spawn,
20,Razorfen Downs,129,0,0,-,4,optional,Ragglesnout,7354,2364.8,904.5,28.8,spawn,"rare, 3 spots"
20,Razorfen Downs,129,0,0,-,5,boss,Amnennar the Coldbringer,7358,2403.4,960.9,55.1,spawn,
20,Razorfen Downs,129,0,0,-,6,optional,Plaguemaw the Rotting,7356,NULL,NULL,NULL,script,quest event
22,Uldaman,70,0,0,-,1,boss,Baelog,6906,-353,117.2,-44.4,spawn,"with Eric ""The Swift"" + Olaf"
22,Uldaman,70,0,0,-,2,boss,Revelosh,6910,-225.6,161.2,-44.5,spawn,
