id	name	minL	maxL	map	diff	type	exp	group
1	Wailing Caverns	15	25	43	0	1	0	1
2	Scholomance	55	65	289	0	1	0	1
4	Ragefire Chasm	15	21	389	0	1	0	1
6	Deadmines	15	25	36	0	1	0	1
8	Shadowfang Keep	16	26	33	0	1	0	1
10	Blackfathom Deeps	19	29	48	0	1	0	1
12	Stormwind Stockade	20	30	34	0	1	0	1
14	Gnomeregan	23	33	90	0	1	0	1
16	Razorfen Kraul	22	32	47	0	1	0	1
18	Scarlet Monastery - Graveyard	27	37	189	0	1	0	1
20	Razorfen Downs	32	42	129	0	1	0	1
22	Uldaman	35	45	70	0	1	0	1
24	Zul'Farrak	41	51	209	0	1	0	1
26	Maraudon - Orange Crystals	41	51	349	0	1	0	1
28	Sunken Temple	45	55	109	0	1	0	1
30	Blackrock Depths - Prison	47	57	230	0	1	0	1
32	Lower Blackrock Spire	55	65	229	0	1	0	1
34	Dire Maul - East	53	63	429	0	1	0	1
36	Dire Maul - West	55	65	429	0	1	0	1
38	Dire Maul - North	55	65	429	0	1	0	1
40	Stratholme - Main Gate	55	65	329	0	1	0	1
136	Hellfire Ramparts	57	67	543	0	1	1	2
137	Blood Furnace	59	68	542	0	1	1	2
138	Shattered Halls	67	75	540	0	1	1	2
140	Slave Pens	60	69	547	0	1	1	2
146	Underbog	61	70	546	0	1	1	2
147	The Steamvault	67	75	545	0	1	1	2
148	Mana-Tombs	62	71	557	0	1	1	2
149	Auchenai Crypts	63	72	558	0	1	1	2
150	Sethekk Halls	65	73	556	0	1	1	2
151	Shadow Labyrinth	67	75	555	0	1	1	2
163	Scarlet Monastery - Armory	32	42	189	0	1	0	1
164	Scarlet Monastery - Cathedral	35	45	189	0	1	0	1
165	Scarlet Monastery - Library	30	40	189	0	1	0	1
170	The Escape From Durnholde	64	73	560	0	1	1	2
171	The Black Morass	68	75	269	0	1	1	2
172	The Mechanar	67	75	554	0	1	1	2
173	The Botanica	67	75	553	0	1	1	2
174	The Arcatraz	68	75	552	0	1	1	2
198	Magisters' Terrace	68	75	585	0	1	1	2
202	Utgarde Keep	68	80	574	0	1	2	4
203	Utgarde Pinnacle	77	80	575	0	1	2	4
204	Azjol-Nerub	70	80	601	0	1	2	4
206	The Oculus	77	80	578	0	1	2	4
207	Halls of Lightning	77	80	602	0	1	2	4
208	Halls of Stone	75	80	599	0	1	2	4
209	The Culling of Stratholme	77	80	595	0	1	2	4
214	Drak'Tharon Keep	72	80	600	0	1	2	4
216	Gundrak	74	80	604	0	1	2	4
218	Ahn'kahet: The Old Kingdom	71	80	619	0	1	2	4
220	Violet Hold	73	80	608	0	1	2	4
225	The Nexus	69	80	576	0	1	2	4
245	Trial of the Champion	80	80	650	0	1	2	4
251	The Forge of Souls	80	80	632	0	1	2	4
253	Pit of Saron	80	80	658	0	1	2	4
255	Halls of Reflection	80	80	668	0	1	2	4
272	Maraudon - Purple Crystals	39	49	349	0	1	0	1
273	Maraudon - Pristine Waters	43	53	349	0	1	0	1
274	Stratholme - Service Entrance	55	65	329	0	1	0	1
276	Blackrock Depths - Upper City	51	61	230	0	1	0	1
285	The Headless Horseman	78	82	189	0	1	0	11
286	The Frost Lord Ahune	78	82	547	0	1	1	11
287	Coren Direbrew	78	82	230	0	1	0	11
288	The Crown Chemical Co.	78	82	33	0	1	0	11
42	Zul'Gurub	56	83	309	0	2	0	6
44	Upper Blackrock Spire	56	83	229	0	2	0	6
46	Onyxia's Lair	80	83	249	0	2	2	8
48	Molten Core	60	83	409	0	2	0	6
50	Blackwing Lair	60	83	469	0	2	0	6
159	Naxxramas	80	83	533	0	2	2	8
160	Ahn'Qiraj Ruins	60	83	509	0	2	0	6
161	Ahn'Qiraj Temple	60	83	531	0	2	0	6
175	Karazhan	70	83	532	0	2	1	7
176	Magtheridon's Lair	70	83	544	0	2	1	7
177	Gruul's Lair	70	83	565	0	2	1	7
193	Tempest Keep	70	83	550	0	2	1	7
194	Serpentshrine Cavern	70	83	548	0	2	1	7
195	Hyjal Past	70	83	534	0	2	1	7
